Day	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1	9:25	10:12	11:19	12:40	13:53	14:48	14:56	14:14	13:03	11:47	10:30	9:34
2	9:26	10:14	11:21	12:42	13:55	14:49	14:55	14:12	13:01	11:44	10:28	9:33
3	9:27	10:16	11:24	12:45	13:58	14:50	14:55	14:10	12:58	11:41	10:25	9:32
4	9:28	10:18	11:26	12:47	14:00	14:51	14:54	14:08	12:56	11:39	10:23	9:31
5	9:29	10:20	11:29	12:50	14:02	14:52	14:53	14:06	12:53	11:36	10:21	9:30
6	9:30	10:23	11:32	12:52	14:04	14:53	14:52	14:04	12:51	11:34	10:19	9:29
7	9:31	10:25	11:34	12:55	14:06	14:53	14:51	14:02	12:48	11:31	10:16	9:28
8	9:32	10:27	11:37	12:58	14:08	14:54	14:51	14:00	12:46	11:29	10:14	9:27
9	9:33	10:29	11:39	13:00	14:10	14:55	14:50	13:58	12:43	11:26	10:12	9:26
10	9:34	10:32	11:42	13:03	14:12	14:56	14:48	13:55	12:41	11:24	10:10	9:26
11	9:35	10:34	11:45	13:05	14:14	14:56	14:47	13:53	12:38	11:21	10:08	9:25
12	9:36	10:36	11:47	13:08	14:16	14:57	14:46	13:51	12:36	11:18	10:06	9:24
13	9:38	10:39	11:50	13:10	14:18	14:57	14:45	13:49	12:33	11:16	10:04	9:24
14	9:39	10:41	11:52	13:13	14:20	14:58	14:44	13:47	12:30	11:13	10:02	9:23
15	9:41	10:44	11:55	13:15	14:22	14:58	14:42	13:44	12:28	11:11	10:00	9:23
16	9:42	10:46	11:58	13:18	14:24	14:58	14:41	13:42	12:25	11:08	9:58	9:22
17	9:44	10:48	12:00	13:20	14:26	14:59	14:40	13:40	12:23	11:06	9:56	9:22
18	9:45	10:51	12:03	13:23	14:27	14:59	14:38	13:37	12:20	11:03	9:54	9:22
19	9:47	10:53	12:06	13:25	14:29	14:59	14:37	13:35	12:18	11:01	9:53	9:22
20	9:49	10:56	12:08	13:28	14:31	14:59	14:35	13:33	12:15	10:58	9:51	9:22
21	9:50	10:58	12:11	13:30	14:32	14:59	14:34	13:30	12:12	10:56	9:49	9:21
22	9:52	11:01	12:13	13:32	14:34	14:59	14:32	13:28	12:10	10:54	9:48	9:21
23	9:54	11:03	12:16	13:35	14:36	14:59	14:30	13:26	12:07	10:51	9:46	9:22
24	9:56	11:06	12:19	13:37	14:37	14:59	14:29	13:23	12:05	10:49	9:44	9:22
25	9:58	11:08	12:21	13:39	14:39	14:59	14:27	13:21	12:02	10:46	9:43	9:22
26	9:59	11:11	12:24	13:42	14:40	14:58	14:25	13:18	12:00	10:44	9:41	9:22
27	10:01	11:14	12:26	13:44	14:41	14:58	14:24	13:16	11:57	10:41	9:40	9:22
28	10:03	11:16	12:29	13:46	14:43	14:58	14:22	13:13	11:54	10:39	9:38	9:23
29	10:05		12:32	13:49	14:44	14:57	14:20	13:11	11:52	10:37	9:37	9:23
30	10:07		12:34	13:51	14:45	14:57	14:18	13:08	11:49	10:34	9:36	9:24
31	10:09		12:37		14:46		14:16	13:06		10:32		9:24
